Img_path, Caption, Score
sub_data/images/257137.png,a todd boy in overalls,4.871156692504883
sub_data/images/771692.png,a pair of sunglasses laying on the sand,5.750894546508789
sub_data/images/792261.png,a close up of a rose with a diamond ring,5.612215042114258
sub_data/images/212288.png,a row of cars parked in a parking lot,4.96443510055542
sub_data/images/948037.png,a group of cyclists,5.332356929779053
sub_data/images/687517.png,a black and white photo of three wine bottles,6.178681373596191
sub_data/images/343785.png,a large cactus in the desert,5.387748718261719
sub_data/images/770641.png,a yellow kay is on the beach,5.476998329162598
sub_data/images/93418.png,a deer laying in the grass,4.8285112380981445
sub_data/images/898911.png,a close up of a green insect,5.892286777496338
sub_data/images/361084.png,a tree with a lot of bark,4.683634281158447
sub_data/images/161374.png,a camera with a flower on the side,4.83222770690918
sub_data/images/30635.png,a man is in a hot air balloon,4.776467323303223
sub_data/images/579754.png,a woman in a dress and veil holding a umbrella,5.586874961853027
sub_data/images/887469.png,a person walking a dog down a dirt road,5.596386909484863
sub_data/images/829307.png,a woman taking a photo of flowers,4.950562953948975
sub_data/images/146590.png,a train bridge over a body of water,5.316866874694824
sub_data/images/142468.png,a pole with street signs,5.300885200500488
sub_data/images/828500.png,a 360 lens of a rocky beach,5.516687393188477
sub_data/images/288082.png,a blue background with a black background,5.193233013153076
sub_data/images/570296.png,a black and white photo of a monkey,5.239729881286621
sub_data/images/109956.png,a black and white photo of a car,5.030776500701904
sub_data/images/292112.png,a piece of orange peel,5.454627513885498
sub_data/images/344058.png,a close up of a green plant with red and yellow stripes,5.119684219360352
sub_data/images/674154.png,a bridge over a river,5.904171943664551
sub_data/images/627617.png,a crowd of people,4.997006416320801
sub_data/images/46058.png,grapes with black spots,5.094993591308594
sub_data/images/574244.png,a woman with long hair,5.9385151863098145
sub_data/images/648945.png,a woman laying on the floor with her hair blowing,4.969054698944092
sub_data/images/622611.png,water bubbles in a glass of water,5.521673202514648
sub_data/images/635576.png,a building with a large purple structure on it,5.916831016540527
sub_data/images/898679.png,a yellow and black fire with a half moon,5.244316101074219
sub_data/images/585568.png,a boy is sitting on a bed with a laptop,5.511368751525879
sub_data/images/387650.png,a person is skateboarding on a park,4.652623176574707
sub_data/images/718966.png,an ose bird with a very long neck,5.390422821044922
sub_data/images/279432.png,a blue glass bea with a black background,4.952648639678955
sub_data/images/50751.png,a toy truck with a blue and orange top,4.259903907775879
sub_data/images/334059.png,a man in a tie and glasses holding a box of camera lenses,4.860787391662598
sub_data/images/139209.png,a person is sitting at a table with a flower in a vase,5.316728591918945
sub_data/images/76584.png,a book and glasses on a bed,5.0253705978393555
sub_data/images/712092.png,purple and white yarn,4.862359523773193
sub_data/images/431897.png,a close up of a plant with snow on it,5.370828151702881
sub_data/images/764240.png,a person is using an apple to measure the fruit,5.299444198608398
sub_data/images/649884.png,a clock tower in the background of a sign,5.193761348724365
sub_data/images/426766.png,a waterfall in the middle of a river,5.398778915405273
sub_data/images/605659.png,a long exposure of the aurora bore over the sea,6.047213554382324
sub_data/images/136818.png,a stream in the desert,5.397334098815918
sub_data/images/866039.png,a spoon on a plate,5.308722496032715
sub_data/images/181455.png,a sculpture of a man on a table,4.803983211517334
sub_data/images/151037.png,a man with a ring on his finger,5.294369697570801
sub_data/images/13861.png,a crane is on the top of a bridge,5.291329860687256
sub_data/images/716602.png,a green lamp with a white background,5.341804504394531
sub_data/images/259789.png,a black and white photo of a row of dominos,5.1984357833862305
sub_data/images/148633.png,a bunch of towels hanging on a clothes line,4.429938793182373
sub_data/images/381548.png,a bird is perched on a cactus,4.397704124450684
sub_data/images/811835.png,a snail on a wooden sign,5.435510635375977
sub_data/images/369317.png,a small bird perched on a branch of a tree,4.930918216705322
sub_data/images/46642.png,a man looking at a perfume bottle with a sign,5.574153900146484
sub_data/images/833310.png,a spiral staircase in a building,5.87325382232666
sub_data/images/842735.png,a tree with no leaves,4.741206169128418
sub_data/images/519150.png,a large rock in the water,6.063518047332764
sub_data/images/611585.png,a young girl sitting on a ledge,5.760286331176758
sub_data/images/827265.png,a fence is in the fore of a field,4.9257121086120605
sub_data/images/852646.png,a black and white photo of an owl,5.63629150390625
sub_data/images/153743.png,a tree with no leaves in the sky,4.872525691986084
sub_data/images/505362.png,a bee on a pink flower,5.7845139503479
sub_data/images/178948.png,a white bowl with apples and bananas,5.195898532867432
sub_data/images/791143.png,a bunch of blue flowers,5.275533676147461
sub_data/images/779061.png,a man in a suit and tie sitting on a chair,5.486194610595703
sub_data/images/769139.png,a vase sitting on a wall next to a chair,5.251699447631836
sub_data/images/306145.png,a close up of a metal object with a white background,4.445424556732178
sub_data/images/829735.png,a small owl sitting on a branch with a green background,6.129438400268555
sub_data/images/557352.png,a bicycle leaning against a wall,5.028427600860596
sub_data/images/49483.png,a black and white drawing of a car,4.127015113830566
sub_data/images/633290.png,a small wooden cabin in a field with cows,5.816821098327637
sub_data/images/550086.png,dominos and dices on a blue background,5.211503982543945
sub_data/images/610917.png,a black and white photo of a boat docked in a harbor,5.528448104858398
sub_data/images/904987.png,a rusty old metal meter on a dirt field,5.614136695861816
sub_data/images/149825.png,a girl with long hair,4.882242202758789
sub_data/images/416482.png,three glass balls on a table with blurry background,5.513498306274414
sub_data/images/386466.png,a bunch of flowers on a black background,5.040745735168457
sub_data/images/57433.png,a close up of a car exhaust pipe,4.959709644317627
sub_data/images/875938.png,a monk in ang angkor temple,6.158888816833496
sub_data/images/231083.png,a row of cars parked in a parking lot,4.921456813812256
sub_data/images/167831.png,an old man with a hat and a cigarette,5.607303142547607
sub_data/images/331608.png,a man sitting on a boat with a laptop,5.431466579437256
sub_data/images/217482.png,a flower in the rain,5.725092887878418
sub_data/images/666558.png,a jellyfish in the water,5.871827125549316
sub_data/images/556906.png,a woman with long brown hair,5.891533374786377
sub_data/images/65959.png,a glass filled with orange peels,5.323152542114258
sub_data/images/556644.png,a red star surrounded by white people,5.526406288146973
sub_data/images/298626.png,a woman with glasses and a sweater on,4.896770477294922
sub_data/images/262517.png,a bottle of wine and a glass on a table,5.351473808288574
sub_data/images/318319.png,a boy in the air,5.755712509155273
sub_data/images/199538.png,a bunch of colorful glass marbles,5.371951103210449
sub_data/images/546177.png,a tiger walking through a lush green field,5.43992805480957
sub_data/images/699700.png,a glass of pink drink with a splash of water,5.334859848022461
sub_data/images/100862.png,a red car with a mirror on the side,5.458327770233154
sub_data/images/686907.png,a hat on a wooden post in the grass,5.528223991394043
sub_data/images/354633.png,a black and white photo of a light bulb,5.381242752075195
sub_data/images/744164.png,a metal object with a red sphere on it,5.640973091125488
sub_data/images/61151.png,a person walking down a wooden floor,5.089055061340332
sub_data/images/777457.png,a woman with long hair and a red and white striped shirt,5.705845832824707
sub_data/images/126625.png,a yellow liquid in a white bowl,5.102064609527588
sub_data/images/292825.png,a skull with a skull head on it,5.1988677978515625
sub_data/images/68262.png,a close up of a toy truck with a toy car in the background,4.760059833526611
sub_data/images/34965.png,a white chair,4.672994613647461
sub_data/images/104600.png,a group of people are standing on a hill,4.320402145385742
sub_data/images/857227.png,a view of a beach through a window,5.670064926147461
sub_data/images/144432.png,a red house with a window and a reflection,5.0422468185424805
sub_data/images/834196.png,a deer with ants on its head,5.512851715087891
sub_data/images/226916.png,a guitar is shown in the image,5.587413787841797
sub_data/images/240503.png,a vine growing on a brick wall,5.456291198730469
sub_data/images/122042.png,a man swinging a golf club,5.102761268615723
sub_data/images/608508.png,a young woman sitting on a bed,4.893950939178467
sub_data/images/47063.png,a metal container with worms inside,5.802369117736816
